CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
25035,1990,1.06000000000000005e+00,1,41,1, 1, 1,60,0,0,0,0, 1,12,49.6,12,12,0,0,0, -1,-1,0, -1,-1
25036,1990,1.06000000000000005e+00,2,31,1, 2, 2, 0,0,0,0,0, 1,14,33.6,12, 4,0,0,0, -1,-1,0, -1,-1
25037,1990,1.06000000000000005e+00,1,68,1, 1, 2, 0,0,0,0,0, 1,12,22.7, 8, 2,0,0,0, -1,-1,0, -1,-1
25038,1990,2.12999999999999989e+00,2,58,1, 2, 2, 0,0,0,0,0, 1,12,36.5,12, 3,0,0,0, -1,-1,0, -1,-1
25039,1990,1.06000000000000005e+00,2,66,1, 2, 1,18,0,0,0,0, 2,10,29.1,12, 0,0,0,0, -1,-1,0, -1,-1
25040,1990,1.06000000000000005e+00,1,29,1, 1, 1,31,0,0,0,0, 1,11,29.4,12,12,0,0,0, -1,-1,0, -1,-1
25041,1990,5.30000000000000027e-01,2,30,1, 1, 1,22,0,0,0,0, 0,16,73.2,12,12,0,0,0, -1,-1,0, -1,-1
25042,1990,5.30000000000000027e-01,1,42,1, 2, 2, 0,0,0,0,0, 0,14,50.7,11,11,0,0,0, -1,-1,0, -1,-1
25043,1990,1.06000000000000005e+00,2,57,1, 1, 2, 0,0,0,0,0, 1, 9,17.1, 9, 0,0,0,0, -1,-1,0, -1,-1
25044,1990,1.59000000000000008e+00,2,64,1, 1, 1,38,0,0,0,0, 1,10,19.4,12, 9,0,0,0, -1,-1,0, -1,-1
25045,1990,5.30000000000000027e-01,2,79,1, 2, 2, 0,0,0,0,0, 0,12,-1.0, 6, 0,0,0,0, -1,-1,0, -1,-1
25046,1990,1.59000000000000008e+00,2,48,1, 1, 1,70,0,0,0,0, 1,14,66.3,12,10,0,0,0, -1,-1,0, -1,-1
25047,1990,1.06000000000000005e+00,1,31,1, 2, 2, 0,0,0,0,0, 2,14,64.1,12,11,0,0,0, -1,-1,0, -1,-1
25048,1990,2.12999999999999989e+00,2,20,2, 1, 1,18,0,0,0,0, 0,12,27.5,12, 6,0,0,0, -1,-1,0, -1,-1
25049,1990,1.06000000000000005e+00,2,27,2, 1, 1,28,0,0,0,0, 0,14,-1.0, 8, 0,0,0,0, -1,-1,0, -1,-1
25050,1990,1.06000000000000005e+00,2,48,1, 1, 1,32,0,0,0,0, 1,17,63.2,12,10,0,0,0, -1,-1,0, -1,-1
