CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,INCOME,RINCOME,PASEI,MASEI,INTRHOME,WWWHR
35333,1998,5.50000000000000044e-01,2,56,1, 1,14,  0,1, 1,60, 98,9,0, 0,  0, ,0,1,70000,0, 0,  0, ,0,1,70000, 0, 0,  0, ,0,0, 0, 4, 4,16,14,12,36.5, 7, 7,63.2,36.5,0, -1
35334,1998,5.50000000000000044e-01,1,25,1, 1,14,  0,1, 1,60, 65,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,16,13,76.4,12,11,38.9,38.4,0, -1
35335,1998,1.10000000000000009e+00,1,38,1, 4, 0,  0,3, 1,13,  0,1,0, 0,  0, ,0,1,18000,0, 0,  0, ,0,1,18000, 0, 0,  0, ,0,0, 0, 3, 7,14,16,16,28.4,12,11,64.1,78.5,0, -1
35336,1998,1.10000000000000009e+00,1,30,3, 1,60, 36,1, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,16,16,65.8,10, 9,76.4,78.5,0, -1
35337,1998,5.50000000000000044e-01,1,24,2,11, 0,  0,9,11, 0,  0,9,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,13,97,12,38.4,11,11,-1.0,36.5,0, -1
35338,1998,1.64999999999999991e+00,2,41,1,99,99,999,9,99,99,999,9,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,14,12,12,33.1,12,10,49.4,35.4,0, -1
35339,1998,5.50000000000000044e-01,1,28,1, 4, 0,  0,3, 1,60, 35,1,0, 0,  0, ,0,1,60031,0, 0,  0, ,0,1,60031, 0, 0,  0, ,0,0, 0, 8, 8,13,97,99,38.1,11,11,-1.0,-1.0,0, -1
35340,1998,1.10000000000000009e+00,1,60,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,20, 8,13,62.5, 9, 9,37.3,-1.0,0, -1
35341,1998,5.50000000000000044e-01,2,47,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 8, 9,14,14, 8,66.3,12,12,44.7,-1.0,0, -1
35342,1998,5.50000000000000044e-01,1,35,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,3,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 4, 6,14, 0, 6,37.3, 7, 7,39.4,-1.0,0, -1
35343,1998,5.50000000000000044e-01,2,37,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,14,12,64.2,12,12,-1.0,-1.0,0, -1
35344,1998,5.50000000000000044e-01,2,81,1, 1,60, 36,1, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0, 6, 6, 6,29.0,98,98,20.1,-1.0,0, -1
35345,1998,1.64999999999999991e+00,2,38,1, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,19,17,15,92.3,12,11,63.5,-1.0,0, -1
35346,1998,5.50000000000000044e-01,2,47,2, 1,15,  0,1, 1,15,  0,1,0, 0,  0, ,0,9,    0,0, 0,  0, ,0,9,    0, 0, 0,  0, ,0,0, 0,99,99,11, 7, 3,33.1, 9, 9,28.4,22.5,0, -1
35347,1998,5.50000000000000044e-01,2,76,2, 1,10,  0,1, 1,10,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,11,97,98,22.5, 8, 0,-1.0,37.3,0, -1
35348,1998,5.50000000000000044e-01,2,86,2, 1,15,  0,1, 1,15,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0, 7,97,11,22.5, 6, 0,-1.0,25.4,0, -1
35349,1998,5.50000000000000044e-01,2,73,2, 4, 0,  0,3, 1,20,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,11, 8, 8,29.3,10, 0,26.7,-1.0,0, -1
35350,1998,5.50000000000000044e-01,2,69,2, 1,15,  0,1, 1,15,  0,1,0, 0,  0, ,0,1,18000,0, 0,  0, ,0,1,18000, 0, 0,  0, ,0,0, 0, 7, 7,11,98,12,-1.0, 6, 0,29.2,22.5,0, -1
35351,1998,1.10000000000000009e+00,2,50,3, 2, 0,  0,2, 1,11,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0, 6,97,12,29.3, 9, 0,-1.0,43.7,0, -1
35352,1998,5.50000000000000044e-01,2,29,2, 4, 0,  0,3, 1,15,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,14,97,10,62.5, 8, 8,-1.0,29.2,0, -1
35353,1998,5.50000000000000044e-01,1,32,2,13, 0,  0,9, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 6, 7,14,14,14,37.8,11,11,29.2,73.2,0, -1
35354,1998,5.50000000000000044e-01,2,74,2, 1,60, 58,1, 1,20,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12, 8, 8,43.7, 8,99,28.0,-1.0,0, -1
35355,1998,1.10000000000000009e+00,2,34,2,99,99,999,9,99,99,999,9,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,14,12,12,42.3,12,10,38.7,68.1,0, -1
35356,1998,1.64999999999999991e+00,2,48,2, 1,13,  0,1, 1,13,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,20, 8,10,78.5,12,12,38.2,29.0,0, -1
35357,1998,1.10000000000000009e+00,2,52,2, 1,13,  0,1, 1,13,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16, 1,10,55.1,12,12,37.3,29.3,0, -1
35358,1998,5.50000000000000044e-01,2,51,2, 1,11,  0,2, 1,11,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,14, 6, 5,37.7,12,12,28.2,22.5,0, -1
35359,1998,1.10000000000000009e+00,2,25,2, 1,60, 68,1, 1,15,  0,1,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,1,60052, 0, 0,  0, ,0,0, 0, 9, 9,14,14,12,31.4, 9, 5,26.7,-1.0,0, -1
35360,1998,5.50000000000000044e-01,1,64,1, 1,34,  0,2, 1,34,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12, 8, 9,86.0,11,99,42.2,-1.0,0, -1
35361,1998,5.50000000000000044e-01,2,44,1, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12,16,12,50.7,12,11,86.6,22.5,0, -1
35362,1998,1.10000000000000009e+00,1,49,1, 1,60, 81,3, 1,60, 81,3,0, 0,  0, ,0,1,60081,0, 0,  0, ,0,1,60081, 0, 0,  0, ,0,0, 0, 4, 4,12, 8,12,48.5,12,12,43.2,50.7,0, -1
35363,1998,1.10000000000000009e+00,2,82,1, 1,32,  0,1, 1,32,  0,1,0, 0,  0, ,0,1,28000,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 1, 2, 8, 6, 8,38.4,11, 0,25.8,-1.0,0, -1
35364,1998,1.10000000000000009e+00,1,34,1, 1,34,  0,2, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,14,97,97,49.4,12,12,-1.0,-1.0,0, -1
35365,1998,1.10000000000000009e+00,1,79,1, 2, 0,  0,2, 1,35,  0,2,0, 0,  0, ,0,1,99999,0, 0,  0, ,0,1,99999, 0, 0,  0, ,0,0, 0, 7, 7,13, 8,11,38.4,11,99,35.7,69.7,0, -1
35366,1998,1.10000000000000009e+00,2,46,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12,97,12,32.0,99,11,-1.0,26.7,0, -1
35367,1998,1.10000000000000009e+00,2,44,1, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 8, 8,12, 8, 8,26.5,13,13,33.1,-1.0,0, -1
35368,1998,1.10000000000000009e+00,1,35,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12, 9,12,37.3,12,12,86.5,-1.0,0, -1
35369,1998,1.10000000000000009e+00,1,39,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 2, 2,12,12,12,48.5,12,12,39.4,-1.0,0, -1
35370,1998,1.10000000000000009e+00,1,44,1, 1,70,  0,2, 1,70,  0,2,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,8,    0, 0, 0,  0, ,0,0, 0, 1, 2,10, 6,97,32.3,11, 0,31.5,-1.0,0, -1
35371,1998,1.10000000000000009e+00,1,56,1, 1,22,  0,3, 1,30,  0,2,0, 0,  0, ,0,1,38000,0, 0,  0, ,0,1,38000, 0, 0,  0, ,0,0, 0, 5, 7,20,97,16,76.4,12,12,-1.0,-1.0,0, -1
35372,1998,5.50000000000000044e-01,1,51,1, 1,41,  0,3, 1,99,  0,9,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,18,12,12,48.5,12,12,73.3,68.1,0, -1
35373,1998,5.50000000000000044e-01,2,64,1, 1,48,  0,3, 1,48,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,19,13,12,92.3,13, 0,64.2,-1.0,0, -1
35374,1998,1.10000000000000009e+00,1,33,1, 1,50,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,20,15,16,92.3,12,12,74.0,73.2,0, -1
35375,1998,1.10000000000000009e+00,2,50,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 8, 8,20,12,12,92.3,12,12,44.7,-1.0,0, -1
35376,1998,1.10000000000000009e+00,1,69,1, 1,22,  0,3, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,17, 6, 9,63.5,12,99,39.4,-1.0,0, -1
35377,1998,1.10000000000000009e+00,1,34,1, 1,32,  0,1, 1,32,  0,1,0, 0,  0, ,0,1,32000,0, 0,  0, ,0,1,20000, 0, 0,  0, ,0,0, 0, 8, 8,18,19,16,63.5,12,12,92.3,-1.0,0, -1
35378,1998,5.50000000000000044e-01,2,42,1, 5, 0,  0,9, 3, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,12,12,38.9,11, 0,50.7,-1.0,0, -1
35379,1998,1.10000000000000009e+00,2,63,1, 3, 0,  0,3, 3, 0,  0,3,0, 0,  0, ,0,3,    0,0, 0,  0, ,0,3,    0, 0, 0,  0, ,0,0, 0,98,99,15,98, 0,74.1,12,11,63.5,-1.0,0, -1
35380,1998,5.50000000000000044e-01,2,49,1, 3, 0,  0,3, 3, 0,  0,3,0, 0,  0, ,0,3,    0,0, 0,  0, ,0,3,    0, 0, 0,  0, ,0,0, 0, 6, 6,18,16,12,64.4,12,12,65.8,-1.0,0, -1
35381,1998,1.10000000000000009e+00,2,71,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,17,12,98,38.4,12, 0,81.0,-1.0,0, -1
35382,1998,1.64999999999999991e+00,2,64,1, 3, 0,  0,3, 3, 0,  0,3,0, 0,  0, ,0,3,    0,0, 0,  0, ,0,1,    0, 0, 0,  0, ,0,0, 0, 4, 3,12,12,12,57.1,12, 3,22.7,-1.0,0, -1
