CASEID,YEAR,COMPWT,SEX,AGE,RACE,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,PASEI,MASEI,INTRHOME
51717,2008,1.31000000000000005e+00,1,23,1,1,0,0,0, 1,60,182,9, 1,60,182,9,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,1,60031, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 3, 8,16,13,14,49.3,53.9,33.1,1
51718,2008,8.80000000000000004e-01,1,43,1,1,8,4,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 5, 5,15,16,14,49.6,86.0,-1.0,0
51719,2008,4.40000000000000002e-01,1,46,1,1,0,0,0, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,15,12,12,69.7,48.8,61.9,1
51720,2008,1.31000000000000005e+00,1,45,1,1,0,0,3,11,70,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0,11,70,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,16,13,12,62.5,28.4,38.0,1
51721,2008,8.80000000000000004e-01,2,41,1,1,0,0,2, 2, 0,  0,2, 1,32,  0,1,0, 0,  0, ,0,1,32000,0, 0,  0, ,0,1,50000, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,16,16,15,56.6,50.7,66.1,1
51722,2008,1.31000000000000005e+00,1,52,1,1,2,2,3, 5, 0,  0,9, 4, 0,  0,3,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,1,50000, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,98, 1,14,97,14,28.4,-1.0,64.2,1
51723,2008,2.14000000000000012e+00,1,40,1,1,0,2,0, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 4, 0,  0, ,3,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,20,20,18,33.1,78.5,73.2,1
51724,2008,2.14000000000000012e+00,2,44,1,1,0,4,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,20,12,12,87.5,61.9,76.4,1
51725,2008,4.40000000000000002e-01,1,48,1,1,0,0,0, 4, 0,  0,3, 1,60, 64,1,0, 0,  0, ,0,1,60064,0, 0,  0, ,0,1,60064, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 6, 7,16,12,12,73.8,28.4,-1.0,0
51726,2008,4.40000000000000002e-01,2,54,1,1,0,0,1, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,16,97, 8,83.9,-1.0,25.5,1
51727,2008,4.40000000000000002e-01,2,56,2,1,0,0,5, 1,18,  0,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0, 8,12,12,22.6,32.3,22.6,2
51728,2008,4.40000000000000002e-01,1,53,1,1,0,0,1, 1,28,  0,3, 4, 0,  0,3,0, 0,  0, ,0,7,    0,0, 0,  0, ,0,7,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 3,10, 9, 7,97,37.4,29.5,-1.0,2
51729,2008,4.40000000000000002e-01,1,50,1,1,9, ,0, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,12,12,12,28.6,93.3,-1.0,2
51730,2008,8.80000000000000004e-01,1,81,1,1,0,2,2, 1,70,  0,2,99,99,999,9,0, 0,  0, ,0,1,99999,0, 0,  0, ,0,1,99999, 1,99,999, ,9,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,17, 8,16,63.5,29.2,80.3,0
51731,2008,4.40000000000000002e-01,2,44,1,1,0,0,3, 2, 0,  0,2, 1,60, 70,3,0, 0,  0, ,0,1,60070,0, 0,  0, ,0,1,60070, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 9, 9,15,16,14,67.0,63.5,-1.0,1
51732,2008,2.18999999999999995e+00,1,22,1,1,0,0,0, 1,60, 64,1, 1,60, 64,1,0, 0,  0, ,0,1,60064,0, 0,  0, ,0,1,60059, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,14,18,16,28.6,86.5,-1.0,1
51733,2008,8.80000000000000004e-01,2,21,1,1,8,4,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 4, 8,14,14,13,61.9,-1.0,53.7,1
51734,2008,8.80000000000000004e-01,1,38,1,2,0,0,2, 1,60,998,9, 1,38,  0,2,0, 0,  0, ,0,1,28000,0, 0,  0, ,0,1,28000, 1,35,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,10, 3,16,97,13,60.6,-1.0,38.4,0
51735,2008,4.40000000000000002e-01,2,33,2,1,0,0,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,1,18000,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 3, 3,12,15,14,33.3,39.0,36.2,1
51736,2008,8.80000000000000004e-01,1,56,1,1,0,0,2, 1,70,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,70,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,14,16,12,63.5,63.5,-1.0,1
